GeneName,GeneGroup,Transcript_ID,EnsemblID,NCBI_Accession,Chromosome,Start,End
RN7SK,outliers,ENST00000636484.1,ENSG00000283293,NR_001445,chr6,52995621,52995948
RN7SKP111,outliers,ENST00000410349.1,ENSG00000222281,NG_045370,chr20,11818821,11819091
RN7SKP12,outliers,ENST00000516275.1,ENSG00000252084,NG_045853,chr1,242188647,242188789
RN7SKP123,outliers,ENST00000410732.1,ENSG00000222664,NG_043286,chr1,93026252,93026542
RN7SKP126,outliers,ENST00000411143.1,ENSG00000223075,NG_044747,chr1,192875686,192875985
RN7SKP131,outliers,ENST00000410698.2,ENSG00000222630,NG_043317,chr22,18605802,18606102
RN7SKP141,outliers,ENST00000516167.1,ENSG00000251976,NG_043351,chr2,136390332,136390669
RN7SKP159,outliers,ENST00000410657.1,ENSG00000222589,NG_043601,chr8,5910945,5911236
RN7SKP161,outliers,ENST00000411110.1,ENSG00000223042,NG_045446,chr12,10084186,10084490
RN7SKP166,outliers,ENST00000410812.1,ENSG00000222744,NG_044095,chr12,66292683,66292987
RN7SKP176,outliers,ENST00000363673.1,ENSG00000260682,NG_042888,chr16,81961926,81962243
RN7SKP179,outliers,ENST00000516126.1,ENSG00000251935,NG_044105,chr2,190553264,190553480
RN7SKP183,outliers,ENST00000517169.1,ENSG00000252978,NG_044888,chrX,20452108,20452431
RN7SKP187,outliers,ENST00000365536.1,ENSG00000202406,NG_041797,chr7,112288623,112288952
RN7SKP188,outliers,ENST00000410789.1,ENSG00000222721,NG_043521,chr4,167662986,167663302
RN7SKP203,outliers,ENST00000363618.1,ENSG00000200488,NG_043572,chr2,76445079,76445410
RN7SKP221,outliers,ENST00000410420.1,ENSG00000222352,NG_045524,chr22,21545344,21545644
RN7SKP233,outliers,ENST00000517005.1,ENSG00000252814,NG_043652,chr16,76287630,76287739
RN7SKP247,outliers,ENST00000411094.1,ENSG00000223026,NG_043721,chr1,81251789,81252096
RN7SKP253,outliers,ENST00000516424.1,ENSG00000252233,NG_045560,chr4,139794125,139794433
RN7SKP255,outliers,ENST00000363442.1,ENSG00000200312,NG_043752,chr14,89712511,89712823
RN7SKP258,outliers,ENST00000517151.1,ENSG00000252960,NG_045290,chr9,18651147,18651450
RN7SKP260,outliers,ENST00000516907.1,ENSG00000252716,NG_045094,chr2,206260066,206260214
RN7SKP261,outliers,ENST00000410948.1,ENSG00000222880,NG_043666,chr12,80343515,80343792
RN7SKP277,outliers,ENST00000516895.1,ENSG00000252704,NG_043832,chr7,121736443,121736725
RN7SKP281,outliers,ENST00000410472.1,ENSG00000222404,NG_045200,chr2,157298807,157299158
RN7SKP283,outliers,ENST00000517197.1,ENSG00000253006,NG_045098,chr2,229236340,229236609
RN7SKP35,outliers,ENST00000517210.1,ENSG00000253019,NG_045261,chr4,151576766,151576916
RN7SKP36,outliers,ENST00000363997.1,ENSG00000200867,NG_043516,chr4,7112088,7112399
RN7SKP38,outliers,ENST00000410782.1,ENSG00000222714,NG_045007,chr2,218500729,218501037
RN7SKP48,outliers,ENST00000365031.1,ENSG00000201901,NG_042996,chr4,85100496,85100823
RN7SKP49,outliers,ENST00000516675.1,ENSG00000252484,NG_044551,chr1,224107282,224107541
RN7SKP63,outliers,ENST00000363187.1,ENSG00000200057,NG_045295,chr22,21389191,21389491
RN7SKP64,outliers,ENST00000517206.1,ENSG00000253015,NG_044585,chr5,139333038,139333365
RN7SKP70,outliers,ENST00000516655.1,ENSG00000252464,NG_046350,chr5,178619728,178619998
RN7SKP80,outliers,ENST00000365188.1,ENSG00000202058,NG_045320,chr22,42565048,42565330
RN7SKP83,outliers,ENST00000516512.1,ENSG00000252321,NG_045019,chr2,85820435,85820612
RN7SKP85,outliers,ENST00000411349.1,ENSG00000223281,NG_043134,chr8,98921233,98921550
RN7SKP88,outliers,ENST00000516847.1,ENSG00000252656,NG_044649,chr1,148839483,148839732
RN7SL106P,outliers,ENST00000618104.1,ENSG00000273981,NG_045728,chr15,23165897,23166186
RN7SL121P,outliers,ENST00000584223.2,ENSG00000263974,NG_045744,chr19,2595019,2595291
RN7SL123P,outliers,ENST00000577239.2,ENSG00000266863,NG_044180,chr9,6661651,6661942
RN7SL128P,outliers,ENST00000467883.3,ENSG00000240869,NG_029591,chr6,20421583,20421887
RN7SL131P,outliers,ENST00000579043.2,ENSG00000264592,NG_043418,chr1,36191915,36192170
RN7SL134P,outliers,ENST00000579756.2,ENSG00000263360,NG_045765,chr16,82844455,82844757
RN7SL151P,outliers,ENST00000460537.3,ENSG00000244230,NG_070716,chr9,21699314,21699596
RN7SL154P,outliers,ENST00000578043.2,ENSG00000264317,NG_044262,chr19,34421988,34422311
RN7SL163P,outliers,ENST00000583100.2,ENSG00000266195,NG_044289,chr21,17506453,17506728
RN7SL174P,outliers,ENST00000475578.3,ENSG00000243333,NG_044332,chr5,119306343,119306631
RN7SL178P,outliers,ENST00000582930.2,ENSG00000263616,NG_044340,chr8,8582352,8582655
RN7SL185P,outliers,ENST00000615150.1,ENSG00000275776,NG_045816,chr15,32394365,32394613
RN7SL190P,outliers,ENST00000582519.2,ENSG00000264933,NG_044382,chrX,123811331,123811587
RN7SL196P,outliers,ENST00000614361.1,ENSG00000274424,NG_045829,chr15,30405307,30405597
RN7SL199P,outliers,ENST00000578752.1,ENSG00000265315,NG_045415,chr17,46537534,46537814
RN7SL231P,outliers,ENST00000461840.3,ENSG00000240803,NG_043630,chr19,14213052,14213323
RN7SL238P,outliers,ENST00000613832.1,ENSG00000276891,NG_045526,chr15,28387196,28387485
RN7SL275P,outliers,ENST00000582762.2,ENSG00000263940,NG_045091,chr4,110117736,110118070
RN7SL311P,outliers,ENST00000579858.2,ENSG00000265892,NG_043654,chr4,139185441,139185746
RN7SL317P,outliers,ENST00000497408.3,ENSG00000242668,NG_044761,chr19,53629713,53630041
RN7SL318P,outliers,ENST00000471955.1,ENSG00000242079,NG_043820,chr8,5142411,5142707
RN7SL319P,outliers,ENST00000480656.3,ENSG00000241807,NG_045974,chr15,75785134,75785354
RN7SL321P,outliers,ENST00000581742.2,ENSG00000277483,NG_045601,chr3,48379834,48380132
RN7SL32P,outliers,ENST00000580514.2,ENSG00000263941,NG_033988,chr2,233205199,233205479
RN7SL331P,outliers,ENST00000618054.1,ENSG00000278422,NG_045990,chr15,84205454,84205700
RN7SL337P,outliers,ENST00000462468.3,ENSG00000243488,NG_045612,chr19,14584095,14584395
RN7SL339P,outliers,ENST00000580597.2,ENSG00000265740,NG_044843,chr5,171359117,171359412
RN7SL371P,outliers,ENST00000578099.2,ENSG00000266210,NG_044287,chr1,30918469,30918735
RN7SL376P,outliers,ENST00000578594.2,ENSG00000265814,NG_043928,chr15,40615665,40615928
RN7SL381P,outliers,ENST00000577658.2,ENSG00000263968,NG_054715,chr16,85659378,85659675
RN7SL386P,outliers,ENST00000485776.3,ENSG00000273610,NG_045250,chr1,21987481,21987777
RN7SL387P,outliers,ENST00000581015.2,ENSG00000263537,NG_030381,chr12,110625645,110625917
RN7SL396P,outliers,ENST00000471086.3,ENSG00000244642,NG_042962,chr8,119862662,119862956
RN7SL417P,outliers,ENST00000459938.3,ENSG00000244056,NG_046397,chr15,84394072,84394336
RN7SL428P,outliers,ENST00000613848.1,ENSG00000277582,NG_045296,chr15,85210053,85210299
RN7SL429P,outliers,ENST00000479090.3,ENSG00000278604,NG_045301,chr15,74072454,74072676
RN7SL440P,outliers,ENST00000577855.2,ENSG00000264963,NG_044057,chr1,94150738,94151080
RN7SL451P,outliers,ENST00000583026.2,ENSG00000265141,NG_044886,chr1,8979576,8979874
RN7SL455P,outliers,ENST00000580629.2,ENSG00000264047,NG_008247,chr2,43904412,43904693
RN7SL468P,outliers,ENST00000582256.1,ENSG00000264833,NG_045133,chr2,119169822,119170115
RN7SL469P,outliers,ENST00000621501.1,ENSG00000277637,NG_045637,chr15,30143733,30143969
RN7SL471P,outliers,ENST00000580476.2,ENSG00000263426,NG_044132,chr6,28977475,28977773
RN7SL474P,outliers,ENST00000583485.2,ENSG00000264092,NG_044139,chr8,16863196,16863496
RN7SL484P,outliers,ENST00000462651.3,ENSG00000241588,NG_045371,chr15,99791209,99791410
RN7SL491P,outliers,ENST00000584748.2,ENSG00000264400,NG_045111,chr19,35414881,35415149
RN7SL495P,outliers,ENST00000616925.1,ENSG00000277515,NG_043277,chr15,22609141,22609377
RN7SL4P,outliers,ENST00000584058.2,ENSG00000263740,NG_002425,chr3,15738515,15738809
RN7SL517P,outliers,ENST00000462240.3,ENSG00000241939,NG_045773,chr3,43314951,43315255
RN7SL524P,outliers,ENST00000581152.2,ENSG00000266754,NG_044240,chr10,103974515,103974814
RN7SL525P,outliers,ENST00000579267.2,ENSG00000264910,NG_046945,chr19,58543299,58543578
RN7SL52P,outliers,ENST00000584271.2,ENSG00000264002,NG_043253,chr21,9902344,9902627
RN7SL531P,outliers,ENST00000578464.2,ENSG00000264071,NG_045045,chr2,43492032,43492313
RN7SL536P,outliers,ENST00000612366.1,ENSG00000278222,NG_045783,chr15,23363272,23363561
RN7SL544P,outliers,ENST00000617232.1,ENSG00000275230,NG_044275,chr9,62363581,62363864
RN7SL553P,outliers,ENST00000482215.3,ENSG00000241227,NG_043964,chr3,5252926,5253223
RN7SL560P,outliers,ENST00000577943.2,ENSG00000264438,NG_045454,chr9,128709780,128710043
