Gene,Chromosome,Position,Score
RNU12,chr22,42615244,7.8379998207092285
RNU12,chr22,42615245,9.770999908447266
RNU12,chr22,42615246,7.728000164031982
RNU12,chr22,42615247,7.728000164031982
RNU12,chr22,42615248,7.8379998207092285
RNU12,chr22,42615249,7.8379998207092285
RNU12,chr22,42615250,9.111000061035156
RNU12,chr22,42615251,7.2769999504089355
RNU12,chr22,42615252,9.111000061035156
RNU12,chr22,42615253,5.995999813079834
RNU12,chr22,42615254,6.080999851226807
RNU12,chr22,42615255,4.927999973297119
RNU12,chr22,42615256,9.111000061035156
RNU12,chr22,42615257,6.0980000495910645
RNU12,chr22,42615258,9.770999908447266
RNU12,chr22,42615259,9.111000061035156
RNU12,chr22,42615260,9.770999908447266
RNU12,chr22,42615261,6.099999904632568
RNU12,chr22,42615262,9.111000061035156
RNU12,chr22,42615263,9.111000061035156
RNU12,chr22,42615264,9.770999908447266
RNU12,chr22,42615265,9.770999908447266
RNU12,chr22,42615266,9.111000061035156
RNU12,chr22,42615267,9.111000061035156
RNU12,chr22,42615268,9.111000061035156
RNU12,chr22,42615269,9.111000061035156
RNU12,chr22,42615270,7.8379998207092285
RNU12,chr22,42615271,9.111000061035156
RNU12,chr22,42615272,9.111000061035156
RNU12,chr22,42615273,4.868000030517578
RNU12,chr22,42615274,6.670000076293945
RNU12,chr22,42615275,6.136000156402588
RNU12,chr22,42615276,1.8600000143051147
RNU12,chr22,42615277,1.975000023841858
RNU12,chr22,42615278,6.002999782562256
RNU12,chr22,42615279,7.926000118255615
RNU12,chr22,42615280,9.782999992370605
RNU12,chr22,42615281,9.782999992370605
RNU12,chr22,42615282,9.782999992370605
RNU12,chr22,42615283,7.8480000495910645
RNU12,chr22,42615284,6.691999912261963
RNU12,chr22,42615285,9.123000144958496
RNU12,chr22,42615286,4.895999908447266
RNU12,chr22,42615287,7.939000129699707
RNU12,chr22,42615288,5.982999801635742
RNU12,chr22,42615289,7.73799991607666
RNU12,chr22,42615290,6.01200008392334
RNU12,chr22,42615291,6.697000026702881
RNU12,chr22,42615292,1.152999997138977
RNU12,chr22,42615293,2.313999891281128
RNU12,chr22,42615294,7.892000198364258
RNU12,chr22,42615295,4.9120001792907715
RNU12,chr22,42615296,6.046999931335449
RNU12,chr22,42615297,7.892000198364258
RNU12,chr22,42615298,7.7820000648498535
RNU12,chr22,42615299,5.997000217437744
RNU12,chr22,42615300,5.895999908447266
RNU12,chr22,42615301,3.1530001163482666
RNU12,chr22,42615302,0.27399998903274536
RNU12,chr22,42615303,1.8960000276565552
RNU12,chr22,42615304,-0.6600000262260437
RNU12,chr22,42615305,0.37700000405311584
RNU12,chr22,42615306,5.534999847412109
RNU12,chr22,42615307,3.0320000648498535
RNU12,chr22,42615308,7.610000133514404
RNU12,chr22,42615309,3.8310000896453857
RNU12,chr22,42615310,7.964000225067139
RNU12,chr22,42615311,7.328000068664551
RNU12,chr22,42615312,6.670000076293945
RNU12,chr22,42615313,9.175999641418457
RNU12,chr22,42615314,0.06400000303983688
RNU12,chr22,42615315,3.7850000858306885
RNU12,chr22,42615316,9.175999641418457
RNU12,chr22,42615317,9.175999641418457
RNU12,chr22,42615318,6.132999897003174
RNU12,chr22,42615319,7.892000198364258
RNU12,chr22,42615320,7.892000198364258
RNU12,chr22,42615321,7.892000198364258
RNU12,chr22,42615322,7.892000198364258
RNU12,chr22,42615323,9.842000007629395
RNU12,chr22,42615324,1.7300000190734863
RNU12,chr22,42615325,3.7880001068115234
RNU12,chr22,42615326,3.3440001010894775
RNU12,chr22,42615327,7.994999885559082
RNU12,chr22,42615328,9.842000007629395
RNU12,chr22,42615329,9.842000007629395
RNU12,chr22,42615330,2.065000057220459
RNU12,chr22,42615331,7.3420000076293945
RNU12,chr22,42615332,4.340000152587891
RNU12,chr22,42615333,9.175999641418457
RNU12,chr22,42615334,9.842000007629395
RNU12,chr22,42615335,7.980999946594238
RNU12,chr22,42615336,5.010000228881836
RNU12,chr22,42615337,0.12300000339746475
RNU12,chr22,42615338,5.136000156402588
RNU12,chr22,42615339,0.375
RNU12,chr22,42615340,2.497999906539917
RNU12,chr22,42615341,3.9670000076293945
RNU12,chr22,42615342,1.2100000381469727
RNU12,chr22,42615343,-0.03999999910593033
RNU12,chr22,42615344,-0.04100000113248825
RNU12,chr22,42615345,0.9900000095367432
RNU12,chr22,42615346,6.765999794006348
RNU12,chr22,42615347,8.031999588012695
RNU12,chr22,42615348,4.881999969482422
RNU12,chr22,42615349,9.842000007629395
RNU12,chr22,42615350,4.960000038146973
RNU12,chr22,42615351,4.058000087738037
RNU12,chr22,42615352,1.8079999685287476
RNU12,chr22,42615353,2.053999900817871
RNU12,chr22,42615354,7.974999904632568
RNU12,chr22,42615355,6.053999900817871
RNU12,chr22,42615356,2.7049999237060547
RNU12,chr22,42615357,6.132999897003174
RNU12,chr22,42615358,9.175999641418457
RNU12,chr22,42615359,7.7820000648498535
RNU12,chr22,42615360,6.1539998054504395
RNU12,chr22,42615361,6.105000019073486
RNU12,chr22,42615362,1.7630000114440918
RNU12,chr22,42615363,9.842000007629395
RNU12,chr22,42615364,2.180999994277954
RNU12,chr22,42615365,6.698999881744385
RNU12,chr22,42615366,3.3510000705718994
RNU12,chr22,42615367,9.842000007629395
RNU12,chr22,42615368,7.374000072479248
RNU12,chr22,42615369,4.072000026702881
RNU12,chr22,42615370,7.808000087738037
RNU12,chr22,42615371,6.01800012588501
RNU12,chr22,42615372,4.895999908447266
RNU12,chr22,42615373,1.899999976158142
RNU12,chr22,42615374,1.1699999570846558
RNU12,chr22,42615375,5.334000110626221
RNU12,chr22,42615376,9.711000442504883
RNU12,chr22,42615377,-0.7839999794960022
RNU12,chr22,42615378,3.446000099182129
RNU12,chr22,42615379,-0.024000000208616257
RNU12,chr22,42615380,-2.247999906539917
RNU12,chr22,42615381,3.0859999656677246
RNU12,chr22,42615382,2.1600000858306885
RNU12,chr22,42615383,7.715000152587891
RNU12,chr22,42615384,6.061999797821045
RNU12,chr22,42615385,4.820000171661377
RNU12,chr22,42615386,4.820000171661377
RNU12,chr22,42615387,6.058000087738037
RNU12,chr22,42615388,2.990999937057495
RNU12,chr22,42615389,5.951000213623047
RNU12,chr22,42615390,4.8420000076293945
RNU12,chr22,42615391,4.8420000076293945
RNU12,chr22,42615392,6.071000099182129
RNU12,chr22,42615393,-0.28200000524520874
RNU12-2P,chrX,47132671,5.632999897003174
RNU12-2P,chrX,47132672,6.920000076293945
RNU12-2P,chrX,47132673,3.819999933242798
RNU12-2P,chrX,47132674,5.553999900817871
RNU12-2P,chrX,47132675,5.632999897003174
RNU12-2P,chrX,47132676,5.632999897003174
RNU12-2P,chrX,47132677,6.4730000495910645
RNU12-2P,chrX,47132678,4.7729997634887695
RNU12-2P,chrX,47132679,6.4730000495910645
RNU12-2P,chrX,47132680,3.953000068664551
RNU12-2P,chrX,47132681,4.010000228881836
RNU12-2P,chrX,47132682,2.9670000076293945
RNU12-2P,chrX,47132683,6.4730000495910645
RNU12-2P,chrX,47132684,4.0269999504089355
RNU12-2P,chrX,47132685,6.920000076293945
RNU12-2P,chrX,47132686,6.4730000495910645
RNU12-2P,chrX,47132687,6.920000076293945
RNU12-2P,chrX,47132688,4.0279998779296875
RNU12-2P,chrX,47132689,6.4730000495910645
RNU12-2P,chrX,47132690,6.4730000495910645
RNU12-2P,chrX,47132691,6.920000076293945
RNU12-2P,chrX,47132692,6.920000076293945
RNU12-2P,chrX,47132693,6.4730000495910645
RNU12-2P,chrX,47132694,6.4730000495910645
RNU12-2P,chrX,47132695,6.4730000495910645
RNU12-2P,chrX,47132696,6.4730000495910645
RNU12-2P,chrX,47132697,5.632999897003174
RNU12-2P,chrX,47132698,6.4730000495910645
RNU12-2P,chrX,47132699,6.4730000495910645
RNU12-2P,chrX,47132700,1.6380000114440918
RNU12-2P,chrX,47132701,3.25600004196167
RNU12-2P,chrX,47132702,0.164000004529953
RNU12-2P,chrX,47132703,0.1469999998807907
RNU12-2P,chrX,47132704,0.1469999998807907
RNU12-2P,chrX,47132705,0.17100000381469727
RNU12-2P,chrX,47132706,0.1469999998807907
RNU12-2P,chrX,47132707,0.1469999998807907
RNU12-2P,chrX,47132708,3.7739999294281006
RNU12-2P,chrX,47132709,0.5730000138282776
RNU12-2P,chrX,47132710,1.7020000219345093
RNU12-2P,chrX,47132711,2.999000072479248
RNU12-2P,chrX,47132712,5.140999794006348
RNU12-2P,chrX,47132713,6.861999988555908
RNU12-2P,chrX,47132714,6.861999988555908
RNU12-2P,chrX,47132715,6.861999988555908
RNU12-2P,chrX,47132716,4.001999855041504
RNU12-2P,chrX,47132717,4.047999858856201
RNU12-2P,chrX,47132718,6.418000221252441
RNU12-2P,chrX,47132719,1.649999976158142
RNU12-2P,chrX,47132720,4.083000183105469
RNU12-2P,chrX,47132721,3.8910000324249268
RNU12-2P,chrX,47132722,5.508999824523926
RNU12-2P,chrX,47132723,3.9210000038146973
RNU12-2P,chrX,47132724,4.058000087738037
