Gene,Chromosome,Position,Score
RNU6ATAC,chr9,134164439,0.8870000243186951
RNU6ATAC,chr9,134164440,0.9190000295639038
RNU6ATAC,chr9,134164441,0.9309999942779541
RNU6ATAC,chr9,134164442,0.9340000152587891
RNU6ATAC,chr9,134164443,0.9309999942779541
RNU6ATAC,chr9,134164444,0.9169999957084656
RNU6ATAC,chr9,134164445,0.8880000114440918
RNU6ATAC,chr9,134164446,0.8799999952316284
RNU6ATAC,chr9,134164447,0.949999988079071
RNU6ATAC,chr9,134164448,0.9789999723434448
RNU6ATAC,chr9,134164449,0.9909999966621399
RNU6ATAC,chr9,134164450,0.9959999918937683
RNU6ATAC,chr9,134164451,0.9980000257492065
RNU6ATAC,chr9,134164452,1.0
RNU6ATAC,chr9,134164453,1.0
RNU6ATAC,chr9,134164454,1.0
RNU6ATAC,chr9,134164455,1.0
RNU6ATAC,chr9,134164456,1.0
RNU6ATAC,chr9,134164457,1.0
RNU6ATAC,chr9,134164458,1.0
RNU6ATAC,chr9,134164459,1.0
RNU6ATAC,chr9,134164460,1.0
RNU6ATAC,chr9,134164461,1.0
RNU6ATAC,chr9,134164462,1.0
RNU6ATAC,chr9,134164463,1.0
RNU6ATAC,chr9,134164464,1.0
RNU6ATAC,chr9,134164465,1.0
RNU6ATAC,chr9,134164466,1.0
RNU6ATAC,chr9,134164467,1.0
RNU6ATAC,chr9,134164468,1.0
RNU6ATAC,chr9,134164469,1.0
RNU6ATAC,chr9,134164470,1.0
RNU6ATAC,chr9,134164471,1.0
RNU6ATAC,chr9,134164472,1.0
RNU6ATAC,chr9,134164473,1.0
RNU6ATAC,chr9,134164474,1.0
RNU6ATAC,chr9,134164475,1.0
RNU6ATAC,chr9,134164476,1.0
RNU6ATAC,chr9,134164477,1.0
RNU6ATAC,chr9,134164478,1.0
RNU6ATAC,chr9,134164479,1.0
RNU6ATAC,chr9,134164480,1.0
RNU6ATAC,chr9,134164481,1.0
RNU6ATAC,chr9,134164482,1.0
RNU6ATAC,chr9,134164483,1.0
RNU6ATAC,chr9,134164484,1.0
RNU6ATAC,chr9,134164485,1.0
RNU6ATAC,chr9,134164486,1.0
RNU6ATAC,chr9,134164487,1.0
RNU6ATAC,chr9,134164488,1.0
RNU6ATAC,chr9,134164489,1.0
RNU6ATAC,chr9,134164490,1.0
RNU6ATAC,chr9,134164491,1.0
RNU6ATAC,chr9,134164492,1.0
RNU6ATAC,chr9,134164493,1.0
RNU6ATAC,chr9,134164494,1.0
RNU6ATAC,chr9,134164495,1.0
RNU6ATAC,chr9,134164496,1.0
RNU6ATAC,chr9,134164497,1.0
RNU6ATAC,chr9,134164498,1.0
RNU6ATAC,chr9,134164499,1.0
RNU6ATAC,chr9,134164500,1.0
RNU6ATAC,chr9,134164501,1.0
RNU6ATAC,chr9,134164502,1.0
RNU6ATAC,chr9,134164503,0.9990000128746033
RNU6ATAC,chr9,134164504,0.9980000257492065
RNU6ATAC,chr9,134164505,0.9950000047683716
RNU6ATAC,chr9,134164506,0.9929999709129333
RNU6ATAC,chr9,134164507,0.9860000014305115
RNU6ATAC,chr9,134164508,0.9660000205039978
RNU6ATAC,chr9,134164509,0.9869999885559082
RNU6ATAC,chr9,134164510,0.9950000047683716
RNU6ATAC,chr9,134164511,0.9980000257492065
RNU6ATAC,chr9,134164512,1.0
RNU6ATAC,chr9,134164513,1.0
RNU6ATAC,chr9,134164514,1.0
RNU6ATAC,chr9,134164515,1.0
RNU6ATAC,chr9,134164516,1.0
RNU6ATAC,chr9,134164517,1.0
RNU6ATAC,chr9,134164518,1.0
RNU6ATAC,chr9,134164519,1.0
RNU6ATAC,chr9,134164520,1.0
RNU6ATAC,chr9,134164521,1.0
RNU6ATAC,chr9,134164522,1.0
RNU6ATAC,chr9,134164523,1.0
RNU6ATAC,chr9,134164524,1.0
RNU6ATAC,chr9,134164525,1.0
RNU6ATAC,chr9,134164526,1.0
RNU6ATAC,chr9,134164527,1.0
RNU6ATAC,chr9,134164528,1.0
RNU6ATAC,chr9,134164529,1.0
RNU6ATAC,chr9,134164530,1.0
RNU6ATAC,chr9,134164531,1.0
RNU6ATAC,chr9,134164532,1.0
RNU6ATAC,chr9,134164533,1.0
RNU6ATAC,chr9,134164534,1.0
RNU6ATAC,chr9,134164535,1.0
RNU6ATAC,chr9,134164536,1.0
RNU6ATAC,chr9,134164537,1.0
RNU6ATAC,chr9,134164538,1.0
RNU6ATAC,chr9,134164539,1.0
RNU6ATAC,chr9,134164540,1.0
RNU6ATAC,chr9,134164541,1.0
RNU6ATAC,chr9,134164542,1.0
RNU6ATAC,chr9,134164543,1.0
RNU6ATAC,chr9,134164544,1.0
RNU6ATAC,chr9,134164545,1.0
RNU6ATAC,chr9,134164546,1.0
RNU6ATAC,chr9,134164547,1.0
RNU6ATAC,chr9,134164548,1.0
RNU6ATAC,chr9,134164549,1.0
RNU6ATAC,chr9,134164550,1.0
RNU6ATAC,chr9,134164551,1.0
RNU6ATAC,chr9,134164552,1.0
RNU6ATAC,chr9,134164553,1.0
RNU6ATAC,chr9,134164554,1.0
RNU6ATAC,chr9,134164555,1.0
RNU6ATAC,chr9,134164556,1.0
RNU6ATAC,chr9,134164557,1.0
RNU6ATAC,chr9,134164558,0.9980000257492065
RNU6ATAC,chr9,134164559,0.9940000176429749
RNU6ATAC,chr9,134164560,0.9829999804496765
RNU6ATAC,chr9,134164561,0.9490000009536743
RNU6ATAC,chr9,134164562,0.8690000176429749
RNU6ATAC,chr9,134164563,0.6240000128746033
